,City,State,Shape,Duration,Summary,Posted,Date,Time,region_cat,time_cat
2259,Brecksville,OH,Circle,2700,"5-6 dim lights moving oddly in a circle, than intertwine/meet in the middle. ((NUFORC Note: Advertising lights?? PD))",12/23/2013,2013-12-19,22:30:00,midwest,evening
2260,San Anselmo,CA,Circle,180,"Bright orange light moving away, then returned and disappeared.",12/23/2013,2013-12-19,19:30:00,west,evening
2261,Goodyear,AZ,Circle,60,My friends and I were enjoying an evening cocktail when we noticed a bright orange sphere traveling from northwest to southeast. It wa,12/23/2013,2013-12-19,18:00:00,west,evening
2263,East Longmeadow,MA,Circle,300,5 bright navigating objects in night sky,4/11/2014,2013-12-18,23:00:00,northeast,evening
2264,Jacksonville,FL,Circle,60,At night I look up at the sky to admire the stars if I am walking home from work at night. This night in particular I was walking from,1/10/2014,2013-12-14,21:00:00,south,evening
2265,Maricopa,AZ,Circle,40,circular silver object moving slow almost hovering..sun reflected off it ..went straight up and disappeared within 5 secs clearblu sky,12/23/2013,2013-12-14,16:00:00,west,afternoon
2266,West Palm Beach,FL,Circle,30,Circle inside circle super fast no noise,12/23/2013,2013-12-13,23:00:00,south,evening
2267,Whitman,MA,Circle,1800,"It started off with one single orange glowing ball of light. At first it was stationary, but then began moving to the right at a slow p",12/23/2013,2013-12-13,18:10:00,northeast,evening
2268,Wakefield,MA,Circle,30,Bright white light that shot across the sky and then disappeared.,12/23/2013,2013-12-13,17:30:00,northeast,afternoon
2269,Gloucester,MA,Circle,45,Saw an orange light with a small streak behind it moving extremely fast either traveling out towards the ocean.,12/23/2013,2013-12-13,17:30:00,northeast,afternoon
2270,Princeton,WV,Circle,180,"Light yellowish white circle of light looking like a full moon started moving, descending down behind trees of horizon.",12/23/2013,2013-12-13,3:30:00,south,night
2271,Canyon Lake,CA,Circle,5,"A large orange light. Bigger than a star, smaller than the moon at about a 30degree arc from the ground. It moved straight down for 5",12/23/2013,2013-12-12,20:00:00,west,evening
2272,La Porte,IN,Circle,3600,Bright star in western sky. ((NUFORC Note: We suspect that the object may be Venus. PD)),12/23/2013,2013-12-12,18:26:00,midwest,evening
2273,Rio Arriba County,NM,Circle,1800,Quick history: 8 Years Military Army Medical Officer to rank of Captain; Vietnam vet w/bronze star-- 4 year degree in Biology Univ of C,12/23/2013,2013-12-12,1:30:00,west,night
2275,Evans,GA,Circle,4,Orange lights in evan gorgia where belair rd an i20 cross over each other.,12/12/2013,2013-12-10,8:50:00,south,morning
2276,Bristol,WI,Circle,60,Orange glowing objects sighted north of Sun Prairie 12092013 after dusk,12/23/2013,2013-12-09,17:45:00,midwest,afternoon
2277,Thornton,CO,Circle,180,"Was driving home from a friends house. seen 4 lights in the sky that were flying west in a flashing red, and orange.. they disappeared",12/12/2013,2013-12-09,6:16:00,west,morning
2278,Tampa,FL,Circle,180,"UFO spotted from a distance, round or almost pear/diamond shaped object, white in color, and absolutely no sound came from it.",12/12/2013,2013-12-08,10:25:00,south,morning
2279,Fayetteville,NC,Circle,50,"I was watching a movie on my smartphone, suddenly the movie stopped playing to buffer. As I was waiting for it to continue I noticed 3",12/12/2013,2013-12-07,23:14:00,south,evening
2280,Yuba City,CA,Circle,300,West of Yuba City multiple witnesses scene 4 orange circular objects hovering in the sky for approximately 5 min..,12/12/2013,2013-12-07,21:24:00,west,evening
2281,Roscoe,IL,Circle,5,Orange globe moving in the sky.,12/12/2013,2013-12-07,21:15:00,midwest,evening
2282,Rutland,VT,Circle,180,The object changed from orange to white light then back to orange.,12/12/2013,2013-12-07,18:30:00,northeast,evening
2283,Grand Rapids,MI,Circle,1,"Circle craft captured in 2 of 3 pictures, near Grand Rapids, MI.",12/23/2013,2013-12-07,10:00:00,midwest,morning
2284,Summerville,SC,Circle,120,Amazing glowing circle.,6/13/2014,2013-12-07,7:16:00,south,morning
2285,Virginia (northern),VA,Circle,180,3 small dots in the nights sky and only objects in the sky. Were in triangle formation began to take poults and videotape. Have on vid,12/12/2013,2013-12-07,2:30:00,south,night
2286,Laguna Beach,CA,Circle,3,"At 2:22 I was looking up at sky light, a big bright ball of light with entrails heading Northwest flew past at very fast speed, it was",12/12/2013,2013-12-07,2:22:00,west,night
2287,Largo,FL,Circle,300,"Saw a flashing light move strait up,stop still in the sky & strait sideways & then lower down slow",12/12/2013,2013-12-06,21:45:00,south,evening
2288,The Colony,TX,Circle,60,Blue and green circular light seen above texas ice storm.,12/12/2013,2013-12-06,20:00:00,south,evening
2289,Port Charlotte,FL,Circle,20,"Orange light, possibly circle shaped moved slowly in the night sky before fading out.",12/12/2013,2013-12-06,19:15:00,south,evening
2291,Lake Bluff,IL,Circle,60,"Two bright yellow balls over Rte. 41 danced, twisted, and took off in two opposite directions! Less than 1 Minute! Both GONE!",12/12/2013,2013-12-06,6:40:00,midwest,morning
2292,Tulsa,OK,Circle,900,"During the snow fall on Friday night, I stepped out for a cigarette. I heard a strange sound that seemed to be a mix between very dista",12/12/2013,2013-12-06,1:30:00,south,night
2293,Vancouver,WA,Circle,120,There were two lighted circle objects flying parallel west to east then shot straight up in the sky and disappeared I got a picture of,12/12/2013,2013-12-05,20:00:00,west,evening
2294,Dudley,MA,Circle,120,Bright white blinking light. ((NUFORC Note: Sighting of Venus. PD)),12/5/2013,2013-12-04,17:30:00,northeast,afternoon
2295,Medford,OR,Circle,1800,"Multi-color lights flashing a pattern. ((NUFORC Note: Probable sighting of star, Sirius. PD))",12/5/2013,2013-12-03,22:00:00,west,evening
2296,Clermont,FL,Circle,108000,"UFO traveling from north to south near Clermont, FL area; went down, then up, and then disappeared across sky.",12/12/2013,2013-12-03,19:45:00,south,evening
2297,Kissimme,FL,Circle,600,Glowing circular object flaming across the sky leaving glowing white smoke and seen by people playing basketball.,12/5/2013,2013-12-03,17:00:00,south,afternoon
2298,Antioch,CA,Circle,800,((HOAX??)) BIG circular ball of light flashes across sky at a super fast speed.,12/5/2013,2013-12-02,19:00:00,west,evening
2299,Titusville,FL,Circle,300,Observed brilliant white circular light emitting a bright blue lazer like beam from each side.,12/12/2013,2013-12-02,18:00:00,south,evening
2300,Lillington,NC,Circle,3,A quick green light.,12/5/2013,2013-12-02,3:00:00,south,night
2301,Great Falls,MT,Circle,30,Two orange spheres traveling on a due west heading.,1/10/2014,2013-12-01,23:45:00,west,evening
2302,Oklahoma City (near),OK,Circle,600,Round,12/5/2013,2013-12-01,19:37:00,south,evening
2303,Arnold,MD,Circle,20,Red object over Arnold/Annapolis Maryland,12/2/2013,2013-12-01,2:25:00,south,night
2304,Royal Palm Beach,FL,Circle,600,Circular orange dots moving across the sky and then fizzling out.,12/2/2013,2013-11-30,20:45:00,south,evening
2305,Webster,TX,Circle,120,"Reddish orange ""light"" traveling in unison with two smaller white ""lights"" at 45 degree angle from each other.",12/2/2013,2013-11-29,20:55:00,south,evening
2306,Urbana,MD,Circle,360,"A group of orange lights moving south in Urbana, MD along the Ijamsville Rd/Villages of Urbana area.",12/2/2013,2013-11-29,18:50:00,south,evening
2307,Orange Park,FL,Circle,180,Orange Park Fl 3 minutes pulsating glowing red and orange orb seen by 4 family members.,12/2/2013,2013-11-29,18:30:00,south,evening
2308,Brick,NJ,Circle,120,Purple spherical light in the sky.,12/2/2013,2013-11-28,21:15:00,northeast,evening
2309,Westford,MA,Circle,10,Was driving and saw two circular unidentifies objects zooming past my field of vision. Then a few seconds later they passed by again at,12/2/2013,2013-11-28,20:40:00,northeast,evening
2310,Lake Havasu City,AZ,Circle,3600,Bright Fireball got lower to ground and dimmer until it eventually just faded out. ((NUFORC Note: Sighting of Venus. PD)),12/2/2013,2013-11-28,19:45:00,west,evening
2311,Amory,MS,Circle,216000,911 was called; I was told a policeman on duty had seen these bright objects; Columbus AFB confirmed no aircraft flying T'giving Day.,12/12/2013,2013-11-28,18:39:00,south,evening
2312,Vadnais Heights,MN,Circle,90,"Orange orbs that disappear in sky, seen from Vadnais Heights, MN.",12/2/2013,2013-11-28,18:10:00,midwest,evening
2313,Azusa,CA,Circle,3,"Small yellow circular craft, very still, then disappeared very quickly.",12/2/2013,2013-11-28,18:05:00,west,evening
2314,Bowling Green,KY,Circle,2700,Circular object with red and orange lights hovering above scottsville rd area for an hour.,12/2/2013,2013-11-28,18:00:00,south,evening
2315,House Springs,MO,Circle,600,"Five orange-red objects flying in an inverted Y formation, no.sound.",12/2/2013,2013-11-28,17:30:00,midwest,afternoon
2316,Boston,MA,Circle,5400,White circular UFO outside Boston disappears--then reappears atop neon orange vertical-ellipse-shaped cloud & witnessed to Hartford CT.,12/2/2013,2013-11-28,15:45:00,northeast,afternoon
2318,Hollister,CA,Circle,300,Four multi colored orbs/lights over Hollister CA on 11/27/2013.,12/2/2013,2013-11-27,16:00:00,west,afternoon
2319,Burlington,NC,Circle,15,Upward curving row or lights flying low over interstate 85 NC.,12/2/2013,2013-11-26,20:30:00,south,evening
2320,Fort Mill,SC,Circle,30,UFO? Over Fort Mill.,12/2/2013,2013-11-26,6:00:00,south,morning
2321,Bend,OR,Circle,300,We saw 6 very bright orange lights low in the sky. Much larger and brighter then stars.,12/2/2013,2013-11-24,23:00:00,west,evening
2322,Ware,MA,Circle,1800,Bright white light in circle shape over ware mass.,6/20/2014,2013-11-24,20:00:00,northeast,evening
2323,Hyattsville,MD,Circle,10800,"White cirlce of light with red lights in the sky for 3 hours, Way to big to be a star as the other stars in the sky were barley visible",12/2/2013,2013-11-24,18:24:00,south,evening
2324,Antioch,CA,Circle,1200,UFO sighting Antioch CA--4 orange lights.,12/2/2013,2013-11-24,10:00:00,west,morning
2325,Albany,OR,Circle,3600,"5 bright flashing lights, blue, red, green and white.",12/2/2013,2013-11-23,23:30:00,west,evening
2326,Eustis,FL,Circle,2700,Very bright circle of light that did not move for as long as I saw it (about 45 minutes).,12/2/2013,2013-11-23,19:00:00,south,evening
2327,Willard,WI,Circle,180,"Two small orange glowing lights spotted traveling from west to east. No sound emitted, and lights traveled in a static manner.",12/2/2013,2013-11-22,20:22:00,midwest,evening
2328,Arapahoe,NC,Circle,5,3 circles moving in the sky and disappeared about 5 seconds later.,12/2/2013,2013-11-22,1:00:00,south,night
2329,Sun Lakes,AZ,Circle,180,"Orange ball over Sun Lakes, AZ, fell from sky.",12/23/2013,2013-11-20,0:00:00,west,night
2330,Randolph Center,VT,Circle,15,4 fiery orange colored orbs in Northern sky. Moved from North to West in a perfectly horizontal manner.,12/2/2013,2013-11-20,17:40:00,northeast,afternoon
2331,West Chester,OH,Circle,600,9 orange-red circles in the western sky that faded out over 10 minutes.,12/2/2013,2013-11-19,20:15:00,midwest,evening
2332,St. Johnsbury,VT,Circle,5,"4 reddish orange lights appeared one by one, then disappeared one by one, appeared to be headed northeast.",12/2/2013,2013-11-19,17:50:00,northeast,afternoon
2334,Rock Hill,SC,Circle,30,"One object it was a Circular. Green and reddish/orange lights on the side, middle was a greenish color, moved right.",11/20/2013,2013-11-19,0:15:00,south,night
2335,Haddam,CT,Circle,7200,"Multi-colored flashing orbs in sky over Ct River. ((NUFORC Note: We suspect a ""twinkling"" star sighting. PD))",11/20/2013,2013-11-18,21:00:00,northeast,evening
2336,Carlsbad,NM,Circle,300,Observed two reddish orange objects moving from west to east above Carlsbad New Mexico about four or five minutes apart. Both objects a,11/20/2013,2013-11-17,17:45:00,west,afternoon
2337,Reno,NV,Circle,3600,"Lights seen hovering over rural Nevada community, witnessed by nearly a dozen residents.",11/20/2013,2013-11-17,17:00:00,west,afternoon
2338,Cartersville,GA,Circle,60,"Fireball over Lake Allatoona, Cartersville GA",11/20/2013,2013-11-16,22:30:00,south,evening
2339,Springfield (?),OR,Circle,1800,Was moving in different directions at really fast speeds.,1/10/2014,2013-11-16,21:00:00,west,evening
2340,Boomer,WV,Circle,720,Lights in small town looks like that of the New Years Eve ball.,11/20/2013,2013-11-16,19:00:00,south,evening
2341,Ames,IA,Circle,2700,"Green, red, and white lights f rom object hovering in the sky.",11/20/2013,2013-11-16,9:45:00,midwest,morning
2342,Portage,WI,Circle,600,"Traveling on Friday November 15, 2013, on Hwy 51 North, Just past the town of Portage, WI, The bright Orange Orbs were popping in and o",3/18/2014,2013-11-15,17:45:00,midwest,afternoon
2343,Wautoma,WI,Circle,10,"Two orange fire balls in line with each other, one went out followed by the other. Both reappeared together two seconds later lasted ab",11/20/2013,2013-11-15,17:15:00,midwest,afternoon
2344,Hamburg,WI,Circle,20,"One orb, bright green/blue color, going SW lasted about 20 sec, large and very fast.",11/20/2013,2013-11-15,17:00:00,midwest,afternoon
2345,Harrisburg,PA,Circle,3600,Large Bright Orb Appearing Periodically.,12/2/2013,2013-11-14,20:00:00,northeast,evening
2346,Saint Albans,VT,Circle,300,2 bright orange orbs silently flying through the sky.,11/20/2013,2013-11-14,18:45:00,northeast,evening
2347,Marshfield,WI,Circle,300,Marshfield WI - 5 lit orange orbs in night sky which darted about then two darted away and three disappeared,11/20/2013,2013-11-14,18:09:00,midwest,evening
2348,Roseville,CA,Circle,600,Bright Orange balls of light in the sky. Stayed in one place for a few minutes then began moving North until they disappeared.,11/20/2013,2013-11-13,21:15:00,west,evening
2349,Granite Falls,WA,Circle,18000,Hundreds of objects fly over small town in Washington State.,11/20/2013,2013-11-13,0:00:00,west,night
2350,Salisbury,NC,Circle,600,"Small, Circular UFO spotted and moves once camera flashes.",12/12/2013,2013-11-12,21:00:00,south,evening
2351,Buhl,MN,Circle,20,Three white balls of light shot from the ground up and hoovered for a few seconds b4 flashing out to nothing.,11/20/2013,2013-11-12,21:00:00,midwest,evening
2352,Black Canyon City,AZ,Circle,120,Near I-17 interstate a formation of orange soft steady glowing obs equally spaced apart were observed by my husband and I. At the time,11/20/2013,2013-11-12,19:30:00,west,evening
2353,Franklin,TN,Circle,120,It looked like an orange moon setting above the tree line & it slowly descended down into the trees. I've been seeing this same thing,11/20/2013,2013-11-12,1:00:00,south,night
2354,Grand Junction,CO,Circle,2100,I stepped out to have some Colorado tobacco and faceing east towards the grandmesa I looked up and saw the orange glow of the sunset re,11/20/2013,2013-11-10,17:00:00,west,afternoon
2355,Metairie,LA,Circle,900,Single object hovering over Lake Ponchartrain Louisiana.,11/11/2013,2013-11-10,17:00:00,south,afternoon
2356,John Day,OR,Circle,120,"Disk over John Day, Oregon. And giant red flames 3 in all taking off by Lakeview, Oregon.",11/19/2015,2013-11-10,7:40:00,west,morning
2357,Shoto,WI,Circle,180,Black disk over Shoto.,11/11/2013,2013-11-09,9:15:00,midwest,morning
2358,Charlotte,NC,Circle,360,We saw about 13 bright reddish orange cirle lights with two diamond lights in between flying in a line formation.,11/20/2013,2013-11-08,22:00:00,south,evening
2359,Bunnell/Palm Coast,FL,Circle,3600,"UFO Over Bunnell/Palm Coast, FL.",11/11/2013,2013-11-07,20:00:00,south,evening
2360,Lorton,VA,Circle,30,Craft hovered overhead visible for about 30 seconds and then disappeared.,11/11/2013,2013-11-07,16:52:00,south,afternoon
2361,Great Falls,VA,Circle,4140,CCTV camera records 2 fast traveling lights near Dulles Airport vicinity,11/11/2013,2013-11-06,20:36:00,south,evening
2362,Dothan,AL,Circle,10,Unidentified flying object seen.,11/11/2013,2013-11-06,19:30:00,south,evening
2363,Langhorne,PA,Circle,120,Solid orange lights arranged in the shape of the big dipper but with many more in the tail. They floated in sync with each other.,11/11/2013,2013-11-05,21:10:00,northeast,evening
2364,Lansdale,PA,Circle,180,5 slow moving glowing objects in the sky.,11/11/2013,2013-11-05,18:45:00,northeast,evening
2365,Springfield,LA,Circle,15,Ufo over springfield La.,11/11/2013,2013-11-05,17:00:00,south,afternoon
2366,Newton,MA,Circle,10,Star like object travels a course then disappears in day light.,11/11/2013,2013-11-05,15:50:00,northeast,afternoon
2367,Salt Lake City,UT,Circle,1800,"Red glowing sphere that appears out of nowhere hovers, moves up",11/11/2013,2013-11-04,20:00:00,west,evening
2368,Napa,CA,Circle,30,"Three flying objects in a row, red and green lights.",11/11/2013,2013-11-04,19:00:00,west,evening
2369,Durham,NC,Circle,180,Bright flashing white ball in broad daylight,11/11/2013,2013-11-04,12:30:00,south,afternoon
2370,Middletown,MD,Circle,5,Circular shimmering object shoots outn of cloud and then turns off like a light. Very high speed.,12/2/2013,2013-11-03,21:00:00,south,evening
2371,Ten Mile,TN,Circle,420,"Large light appeared over Watts Bar Lake.

Light got bigger and become vertical oblong.

Light was stationary for 3 minutes. Then s",11/11/2013,2013-11-03,19:30:00,south,evening
2372,West Haven,CT,Circle,480,"Strange light next to sun must see , smaller object going around light left trail. ((NUFORC Note: Venus? PD))",11/11/2013,2013-11-03,15:00:00,northeast,afternoon
2373,Burns,TN,Circle,600,2 orange balls of light.,11/11/2013,2013-11-03,7:45:00,south,morning
2374,Boerne,TX,Circle,600,4 White lights above the clouds going in a circle. Disappeared in an instant one by one.,11/11/2013,2013-11-03,6:35:00,south,morning
2375,Port of Long Beach,CA,Circle,5,White/blue orb disappeared before hitting ocean.,11/11/2013,2013-11-03,1:00:00,west,night
2376,Geneva,FL,Circle,300,Strange red lights suspended in air then vanished.,11/11/2013,2013-11-02,21:45:00,south,evening
2377,Aventura,FL,Circle,900,Viewed 6 circular reddish orange lights rising from ground level to very high altitude.,11/11/2013,2013-11-02,21:00:00,south,evening
2378,Point Pleasant by the Barnegat Bay,NJ,Circle,120,"Fireball low flying bright orange, silent.",11/11/2013,2013-11-02,20:00:00,northeast,evening
2379,Woodland,WA,Circle,300,About a dozen orange lights in the sky under clouds above Woodland hills. Kind of in a triangle form.,11/11/2013,2013-11-02,6:40:00,west,morning
2380,Somerville,MA,Circle,10800,"Multiple lights on a round ufo over Boston, MA, Nov. 2, 2013.",11/11/2013,2013-11-02,2:00:00,northeast,night
2381,New Paltz,NY,Circle,300,"Circular object/2 orange, 2 blue lights.",11/11/2013,2013-11-01,22:00:00,northeast,evening
2382,Marion,NC,Circle,2700,"Illuminated Orb hovering over Marion, NC- does this have to do with the ""non- existent Military Base"" behind Baxter.",11/11/2013,2013-11-01,21:00:00,south,evening
2383,Cincinnati,OH,Circle,120,"3 large orange fiery balls,comet like tails,flying under the cloud coverage in a smooth methodical manner, disappeared, and reappeared",11/11/2013,2013-11-01,19:25:00,midwest,evening
2384,Liberty Lake,WA,Circle,3600,"Bright light. ((NUFORC Note: Sighting of Venus, we suspect. PD))",11/11/2013,2013-11-01,17:30:00,west,afternoon
2385,Riverview/Brandon,FL,Circle,180,"Riverview/Brandon FL, 1 strange light that changed direction and color from white to red and green.",11/11/2013,2013-10-31,20:17:00,south,evening
2386,Ocala,FL,Circle,1800,Orange orbs that seperate into three moving extremly fast.,11/11/2013,2013-10-31,6:28:00,south,morning
2387,Santa Cruz,CA,Circle,10800,"I feel this is probably a new satellite of some sort, but would like to have it on record as a sighting. ((NUFORC Note: Venus. PD))",11/11/2013,2013-10-29,18:00:00,west,evening
2388,Eastport,MD,Circle,5400,"4 weeks, observed round object in sky with mostly bright white but has flashing red and green lights. ((NUFORC Note: Sirius?? PD))",11/11/2013,2013-10-29,0:30:00,south,night
2389,Wellington,FL,Circle,180,2 bright lights.,11/11/2013,2013-10-28,22:30:00,south,evening
2390,Brownsville,TX,Circle,300,"2 orange fiery, round objects flew over brownsville, tx near east price road.",11/11/2013,2013-10-28,20:20:00,south,evening
2392,Merritt Island,FL,Circle,600,Orange white orbs moving silent.,11/11/2013,2013-10-27,20:00:00,south,evening
2394,La Porte,IN,Circle,120,Orange glowing luminous object zizagging no noise flying low.,11/11/2013,2013-10-26,21:25:00,midwest,evening
2395,Beaver,AR,Circle,30,Orange lights moving slow.start out in straight vertical line.they scatter then disappear in the clouds. They were low and visible and,11/11/2013,2013-10-26,21:00:00,south,evening
2396,Plant City,FL,Circle,60,Bright orange circular object with red lights around it,11/11/2013,2013-10-26,19:30:00,south,evening
2397,Colton's Point,MD,Circle,600,7 blue circles spotted by 4 people.,11/11/2013,2013-10-26,9:45:00,south,morning
2398,Milford,OH,Circle,600,6 orange lights moving at high rate of speed,11/11/2013,2013-10-25,23:55:00,midwest,evening
2399,Waukee,IA,Circle,420,Multiple bright yellow-red circular lights sighted travelling SW to NE over Waukee towards Des Moines.,11/11/2013,2013-10-25,22:15:00,midwest,evening
2400,Milwaukee,WI,Circle,120,Reddish orange lights floating in the sky from west to east,11/11/2013,2013-10-25,19:00:00,midwest,evening
2401,Beverly Hills,CA,Circle,60,"Slow moving bright orange fireball appearing somewhat close. Direction unclear, then suddenly disappears.",11/11/2013,2013-10-25,2:15:00,west,night
2402,Brandon,MS,Circle,10,"Bluish green object, the size of a dime held at arms length traversing approximately a 10 degree path toward the southwest horizon.",11/11/2013,2013-10-24,23:30:00,south,evening
2403,Garland,TX,Circle,600,6-8 orange/yellow circles hovering in a zigzag formation.,11/11/2013,2013-10-24,20:00:00,south,evening
2404,Hogansville,GA,Circle,120,"Early afternoon sighting, made 90 degree turns",11/11/2013,2013-10-24,13:55:00,south,afternoon
2405,Dallas,TX,Circle,120,"Shiny circular object in sky, no lights, Extremely shiny. Disappeared a few seconds after I saw it.",11/11/2013,2013-10-24,9:30:00,south,morning
2406,Richmond,VA,Circle,2,Blue and green circle took off in two seconds and then was gone.,11/11/2013,2013-10-24,7:19:00,south,morning
2408,Colonial Heights,VA,Circle,2700,Strange light in Virginia,11/11/2013,2013-10-23,19:30:00,south,evening
2409,Davenport,WA,Circle,600,"Orange Glowing Object over Davenport, WA.",11/11/2013,2013-10-22,23:30:00,west,evening
2410,Ossipee,NH,Circle,5,Bright circle flashed across the sky in Ossipee only lasted about 3-5 seconds.,10/23/2013,2013-10-22,19:30:00,northeast,evening
